Year,Month,Mkt-RF,SMB,HML,RF
1960,April,-1.71,0.22,-2.14,0.19
1960,May,3.12,1.29,-3.73,0.27
1960,June,2.08,-0.28,-0.27,0.24
1960,July,-2.37,-0.52,2.1,0.13
1960,August,3,0.69,-0.18,0.17
1960,September,-6,-1.12,1.68,0.16
1960,October,-0.71,-4.09,2.83,0.22
1960,November,4.69,0.38,-2.39,0.13
1960,December,4.73,-1.58,-0.77,0.16
1961,January,6.2,0.6,3.65,0.19
1961,February,3.57,3.89,-0.58,0.14
1961,March,2.89,3.22,-0.82,0.2
1961,April,0.29,0.07,2.13,0.17
1961,May,2.4,1.97,0.38,0.18
1961,June,-3.08,-2.49,-0.09,0.2
1961,July,2.83,-1.94,-0.08,0.18
1961,August,2.57,-1.71,-0.3,0.14
1961,September,-2.15,-1.07,-0.61,0.17
1961,October,2.58,-1.61,0.18,0.19
1961,November,4.45,1.26,-1.22,0.15
1961,December,-0.17,-0.87,1.76,0.19
1962,January,-3.87,1.74,5.11,0.24
1962,February,1.81,-1.15,0.82,0.2
1962,March,-0.68,0.66,-1.58,0.2
1962,April,-6.59,-0.85,0.14,0.22
1962,May,-8.66,-3.14,2.73,0.24
1962,June,-8.5,-0.46,2.42,0.2
1962,July,6.27,1.52,-3.37,0.27
1962,August,2.13,1.22,-1.12,0.23
1962,September,-5.22,-2.4,1.33,0.21
1962,October,-0.05,-3.95,1.3,0.26
1962,November,10.89,2.5,0.85,0.2
1962,December,1.01,-3.76,0.32,0.23
1963,January,4.94,3.01,2.24,0.25
1963,February,-2.4,0.46,2.15,0.23
1963,March,3.08,-2.58,2.1,0.23
1963,April,4.51,-1.26,1,0.25
1963,May,1.76,1.08,2.55,0.24
1963,June,-2,-0.32,0.65,0.23
1963,July,-0.39,-0.57,-0.81,0.27
1963,August,5.08,-0.95,1.7,0.25
1963,September,-1.57,-0.25,0,0.27
1963,October,2.54,-0.57,-0.04,0.29
1963,November,-0.86,-1.16,1.73,0.27
1963,December,1.83,-1.96,-0.21,0.29
1964,January,2.24,-0.24,1.63,0.3
1964,February,1.55,0.12,2.81,0.26
1964,March,1.41,0.95,3.29,0.31
1964,April,0.1,-1.35,-0.54,0.29
1964,May,1.41,-0.84,1.81,0.26
1964,June,1.27,-0.23,0.68,0.3
1964,July,1.74,0.19,0.79,0.3
1964,August,-1.44,0.01,0.07,0.28
1964,September,2.69,-0.63,1.72,0.28
1964,October,0.6,0.48,1.08,0.29
1964,November,-0.01,0.62,-2.04,0.29
1964,December,0.04,-0.24,-2.43,0.31
1965,January,3.54,2.57,0.36,0.28
1965,February,0.44,3.31,0.22,0.3
1965,March,-1.34,1.79,1.15,0.36
1965,April,3.11,1.14,0.73,0.31
1965,May,-0.78,0.02,-1.55,0.31
1965,June,-5.51,-4.07,0.23,0.35
1965,July,1.44,0.86,2.19,0.31
1965,August,2.73,2.85,-0.98,0.33
1965,September,2.86,0.63,-0.14,0.31
1965,October,2.6,2.52,1.55,0.31
1965,November,-0.03,4.69,0.16,0.35
1965,December,1.01,2.07,2.15,0.33
1966,January,0.72,4.02,3.27,0.38
1966,February,-1.21,4.44,0.38,0.35
1966,March,-2.51,0.86,-2.13,0.38
1966,April,2.13,3.44,-0.36,0.34
1966,May,-5.67,-4.6,-1.6,0.41
1966,June,-1.44,1.02,0.49,0.38
1966,July,-1.63,-0.35,0.91,0.35
1966,August,-7.94,-3.26,0.5,0.41
1966,September,-1.06,-1.01,0.48,0.4
1966,October,3.86,-6.6,2.74,0.45
1966,November,1.38,4.07,-4.63,0.4
1966,December,0.13,1.93,-0.95,0.4
1967,January,8.15,8.1,2.36,0.43
1967,February,0.77,3.32,-2.26,0.36
1967,March,3.99,1.47,0.47,0.39
1967,April,3.89,0.47,-2.29,0.32
1967,May,-4.32,2.11,0.8,0.33
1967,June,2.42,5.85,0.8,0.27
1967,July,4.58,3.17,2.75,0.32
1967,August,-0.9,0.43,1.43,0.31
1967,September,3.1,3.04,-2.47,0.32
1967,October,-3.08,1.47,-3.29,0.39
