Year,Month,M1B1,M1B2,M1B3,M2B1,M2B2,M2B3
1949,January,1.236,1.7426,2.976,0.5636,-1.0699,1.3242
1949,February,-5.4087,-3.863,-5.6183,-2.4873,-2.7384,-4.0524
1949,March,6.4098,5.5417,8.2132,4.2392,3.423,5.0549
1949,April,-1.6771,-3.0568,-3.3768,-2.0767,-0.6625,-2.6201
1949,May,-3.8553,-3.7355,-5.1369,-1.8894,-3.1136,-5.3824
1949,June,-1.3797,-1.1758,-1.1177,1.114,0.2449,-2.4518
1949,July,6.5036,7.21,5.7431,5.2455,5.7591,6.793
1949,August,3.2664,3.5375,1.9547,2.714,2.774,2.8538
1949,September,5.4263,4.183,4.1666,2.65,3.6123,4.3629
1949,October,5.0879,3.4831,4.098,3.2666,3.0462,3.2686
1949,November,0.4619,1.0043,0.2029,2.9435,0.1412,1.4005
1949,December,6.9542,6.5529,8.8106,5.3362,3.8029,6.949
1950,January,7.2353,4.6096,4.7005,0.8641,1.9505,3.6973
1950,February,1.6398,1.9763,0.5672,1.5689,1.476,1.0674
1950,March,2.4262,-1.122,-1.9727,1.9209,0.9314,0.7551
1950,April,5.8185,5.3616,7.5064,4.3502,3.0151,5.3261
1950,May,1.611,2.7977,3.0334,4.6373,5.0482,4.1455
1950,June,-7.0893,-7.8905,-9.1003,-5.4535,-6.3675,-5.0161
1950,July,0.7578,3.4082,11.5659,-3.4707,4.4731,13.0953
1950,August,4.3649,5.55,5.1254,6.085,4.1506,2.5836
1950,September,6.0137,4.9132,5.0281,5.7853,3.8328,4.5622
1950,October,-0.4631,-0.2401,0.069,-0.1759,-0.5036,2.019
1950,November,0.394,2.0855,4.8664,2.3395,3.4248,4.239
1950,December,5.2478,7.387,12.5626,3.356,6.6713,10.5899
1951,January,6.6023,7.0184,10.6498,5.1634,5.4114,8.6861
1951,February,1.6273,1.3077,-0.0477,2.2425,1.8708,-1.6558
1951,March,-1.4236,-3.2729,-5.6857,-0.7158,-2.6985,-4.9784
1951,April,2.2402,3.7996,6.3858,4.4177,5.6734,6.7872
1951,May,-1.849,-2.5975,-3.4954,-2.3456,-1.8334,-3.5315
1951,June,-3.9263,-4.7921,-7.2689,-2.2005,-1.0781,-6.8166
1951,July,5.3423,5.0826,6.6166,6.7122,7.0471,9.4439
1951,August,5.9829,5.3992,4.961,4.2366,4.3327,4.9224
1951,September,2.3562,2.8746,2.7764,0.5823,0.4341,1.4004
1951,October,-2.0349,-1.6174,-3.4192,-3.8022,-0.5082,-2.0565
1951,November,0.4588,0.4421,0.3429,0.7901,0.6886,0.7533
1951,December,1.1452,0.9521,0.6857,4.2582,3.6144,1.621
1952,January,1.6917,1.7977,1.3001,0.4234,2.5347,3.7746
1952,February,-2.0064,-1.9791,-1.9498,-2.1832,-2.8173,-3.4862
1952,March,1.2063,2.2878,3.4195,4.3741,4.8364,6.6239
1952,April,-4.8106,-4.8376,-4.0038,-4.6551,-4.9312,-5.5278
1952,May,2.3145,2.0797,2.686,3.7919,2.8353,3.4591
1952,June,1.6633,2.8718,3.3681,3.9071,4.1916,4.6821
1952,July,0.9719,1.5582,-0.1708,1.1602,0.7794,1.6611
1952,August,0.0305,0.9561,0.3016,-0.8904,-0.2839,-0.9747
1952,September,0.1657,-0.8292,-2.1209,-1.8295,-1.8554,-2.3841
1952,October,-0.7404,-1.6217,-1.9806,-0.5755,-0.2476,-0.4277
1952,November,5.5141,5.6034,6.0728,6.2137,5.4563,7.692
1952,December,1.9093,1.7291,1.7248,3.1456,3.0327,3.7137
1953,January,3.792,3.5491,3.8294,-0.9687,-0.0407,1.5487
1953,February,1.3244,2.3139,1.8288,-0.1994,-0.1726,-0.8067
1953,March,-1.7443,-1.7565,-2.0104,-1.175,-1.1351,-2.5814
1953,April,-3.0896,-2.3119,-1.1389,-3.0063,-2.4693,-1.8563
1953,May,0.7048,0.9122,0.7182,0.8497,0.306,1.3392
1953,June,-3.2411,-3.3262,-3.9993,-1.6149,-1.4286,-1.8499
1953,July,0.8845,1.5194,1.4679,2.9823,2.1197,1.8937
1953,August,-3.2989,-5.3061,-6.3057,-4.011,-3.9511,-8.0486
1953,September,0.0388,-0.8465,-2.2839,0.9,0.1935,-1.6498
1953,October,3.1414,3.6652,3.1846,5.082,4.3314,4.6587
1953,November,1.5305,2.1947,1.2851,3.3669,2.2276,3.3186
1953,December,0.2561,-1.2758,-2.7507,0.5275,0.362,-2.122
1954,January,4.7365,6.6216,8.2521,4.465,5.7898,7.8529
1954,February,1.0854,1.5035,1.4458,1.657,2.1633,0.7611
1954,March,2.6405,3.1324,2.2403,4.2504,3.5156,1.7585
1954,April,-0.251,2.2955,0.3092,5.3109,3.4379,4.0039
1954,May,3.9857,4.2457,5.0968,2.8676,2.6322,6.6566
1954,June,0.5721,1.8091,1.3936,1.8471,-0.2761,1.0679
1954,July,5.5532,6.9121,9.1171,4.281,5.1508,8.9957
1954,August,-0.1209,0.1163,-0.9026,-2.981,-0.9301,-5.0424
1954,September,2.902,4.6638,4.6729,6.8858,6.5665,6.4698
1954,October,0.5957,-1.0104,-0.7163,-2.2645,-1.0206,0.3371
1954,November,7.0907,8.9409,9.6779,9.6033,8.1619,15.9077
1954,December,7.5423,9.4987,11.4234,4.2809,5.8892,11.761
1955,January,1.5823,1.2331,2.3036,0.0789,0.7689,3.5531
1955,February,3.8063,5.4205,4.6612,3.0644,2.7519,3.4232
1955,March,-0.6681,-0.2664,0.6744,-0.2809,-0.2617,2.2309
1955,April,1.4852,1.1079,2.644,4.0879,1.9726,4.4279
1955,May,0.5724,0.4721,0.408,1.9506,0.0639,0.2003
1955,June,2.1097,3.3747,3.5391,6.5873,7.4156,8.8486
1955,July,-1.7317,1.0499,1.286,2.6292,1.1897,0.3943
1955,August,-0.1312,0.5963,0.2711,0.3494,0.3272,1.4502
1955,September,-0.695,-0.4605,-0.3632,0.0488,-0.1504,-2.3113
1955,October,-1.5444,-0.7834,-1.2904,-2.8098,-1.9188,-3.2843
1955,November,6.0346,4.8625,5.2582,8.3088,4.7002,9.7422
1955,December,3.0961,2.2514,2.5679,1.9824,1.6893,-1.7066
1956,January,-2.0825,-2.0222,-1.7124,-3.6255,-1.3414,-2.3513
1956,February,1.9985,3.797,2.3854,4.7728,2.842,3.4671
1956,March,3.4551,3.795,5.1534,7.8736,5.7141,5.2002
1956,April,1.097,0.8756,0.0713,0.1051,1.2256,0.8139
1956,May,-3.3841,-4.0952,-4.502,-5.1311,-4.6932,-6.6455
1956,June,0.9535,2.4786,1.3007,4.2987,3.2585,1.7546
1956,July,3.3512,3.4429,3.4197,5.1019,5.2857,4.8836
1956,August,-0.272,-0.9429,-2.1297,-3.5417,-2.3399,-3.1393
1956,September,-3.4015,-2.9597,-2.1458,-5.9289,-3.6913,-3.6841
1956,October,1.1856,0.843,0.4204,0.697,0.7679,1.3296
1956,November,-0.3135,0.1848,2.2152,-0.419,2.551,0.5735
1956,December,4.3289,2.117,2.1708,3.8224,3.1838,1.6779
1957,January,-0.7957,0.1475,2.0537,-4.4457,-2.6654,-1.6363
1957,February,-2.9455,-3.2271,-2.7225,-1.5245,-2.0538,-3.0667
1957,March,2.3716,2.6244,2.2856,2.6934,1.8734,1.7198
1957,April,2.2168,2.4021,2.2715,5.6063,3.3894,2.6026
1957,May,2.8681,1.2552,1.7595,4.753,2.549,1.8322
1957,June,0.1675,-1.1859,0.7265,-0.1211,-1.2078,-0.737
1957,July,-0.7451,0.7903,0.4311,1.2814,0.5363,1.0727
1957,August,-4.932,-4.4188,-5.2109,-5.46,-3.2002,-6.0775
1957,September,-7.1456,-4.9251,-5.0233,-6.337,-4.3828,-6.5635
